frame,timestamp_sec,track_id,x,y
274,4.55,2,1199.49,408.139
286,4.75,2,1133.57,421.642
289,4.8,2,1126.28,425.806
294,4.88333,2,1103.04,429.855
296,4.91667,2,1086.02,435.114
301,5,2,1075.7,438.488
304,5.05,2,1063.32,438.356
308,5.11667,2,1060.96,442.22
312,5.18333,2,1035.25,446.943
316,5.25,2,978.277,458.61
319,5.3,2,976.769,451.272
324,5.38333,2,972.913,458.747
328,5.45,2,970.472,460.635
331,5.5,2,957.912,463.855
338,5.61667,2,943.077,465.322
343,5.7,2,916.68,466.309
346,5.75,2,896.728,475.196
350,5.81667,2,882.619,480.892
354,5.88333,2,869.866,484.53
358,5.95,2,856.988,487.221
361,6,2,845.639,489.987
365,6.06667,2,827.352,500.227
370,6.15,2,809.231,507.34
372,6.18333,2,786.617,517.775
377,6.26667,2,783.44,518.514
380,6.31667,2,755.98,531.309
384,6.38333,2,745.851,535.5
388,6.45,2,736.669,535.252
391,6.5,2,721.342,542.525
395,6.56667,2,696.54,552.801
403,6.7,2,677.188,557.261
406,6.75,2,659.168,564.74
410,6.81667,2,647.303,565.986
415,6.9,2,627.905,569.878
418,6.95,2,621.68,572.729
422,7.01667,2,600.051,582.003
426,7.08333,2,585.386,585.215
436,7.25,2,543.651,597.424
438,7.28333,2,509.4,609.8
445,7.4,2,477.636,623.597
448,7.45,2,465.822,628.999
457,7.6,2,444.758,639.17
460,7.65,2,425.125,646.395
463,7.7,2,412.91,653.084
468,7.78333,2,398.275,660.818
471,7.83333,2,378.391,673.939
475,7.9,2,369.34,678.814
479,7.96667,2,347.729,693.853
483,8.03333,2,333.981,702.765
487,8.1,2,322.505,708.251
